Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC2-BL1,Ethernet1,spine,DC2-SP1,Ethernet5,True
l3leaf,DC2-BL1,Ethernet2,spine,DC2-SP2,Ethernet5,True
l3leaf,DC2-BL1,Ethernet4,other,DC1-BL1,Ethernet4,True
l3leaf,DC2-BL1,Ethernet8,mlag_peer,DC2-BL2,Ethernet8,True
l3leaf,DC2-BL2,Ethernet1,spine,DC2-SP1,Ethernet6,True
l3leaf,DC2-BL2,Ethernet2,spine,DC2-SP2,Ethernet6,True
l3leaf,DC2-BL2,Ethernet4,other,DC1-BL2,Ethernet4,True
l3leaf,DC2-BL2,Ethernet8,mlag_peer,DC2-BL1,Ethernet8,True
l3leaf,DC2-CL1,Ethernet1,spine,DC2-SP1,Ethernet1,True
l3leaf,DC2-CL1,Ethernet2,spine,DC2-SP2,Ethernet1,True
l3leaf,DC2-CL1,Ethernet8,mlag_peer,DC2-CL2,Ethernet8,True
l3leaf,DC2-CL2,Ethernet1,spine,DC2-SP1,Ethernet2,True
l3leaf,DC2-CL2,Ethernet2,spine,DC2-SP2,Ethernet2,True
l3leaf,DC2-CL2,Ethernet8,mlag_peer,DC2-CL1,Ethernet8,True
l3leaf,DC2-CL3,Ethernet1,spine,DC2-SP1,Ethernet3,True
l3leaf,DC2-CL3,Ethernet2,spine,DC2-SP2,Ethernet3,True
l3leaf,DC2-CL3,Ethernet8,mlag_peer,DC2-CL4,Ethernet8,True
l3leaf,DC2-CL4,Ethernet1,spine,DC2-SP1,Ethernet4,True
l3leaf,DC2-CL4,Ethernet2,spine,DC2-SP2,Ethernet4,True
l3leaf,DC2-CL4,Ethernet8,mlag_peer,DC2-CL3,Ethernet8,True
spine,DC2-SP1,Ethernet1,l3leaf,DC2-CL1,Ethernet1,True
spine,DC2-SP1,Ethernet2,l3leaf,DC2-CL2,Ethernet1,True
spine,DC2-SP1,Ethernet3,l3leaf,DC2-CL3,Ethernet1,True
spine,DC2-SP1,Ethernet4,l3leaf,DC2-CL4,Ethernet1,True
spine,DC2-SP1,Ethernet5,l3leaf,DC2-BL1,Ethernet1,True
spine,DC2-SP1,Ethernet6,l3leaf,DC2-BL2,Ethernet1,True
spine,DC2-SP2,Ethernet1,l3leaf,DC2-CL1,Ethernet2,True
spine,DC2-SP2,Ethernet2,l3leaf,DC2-CL2,Ethernet2,True
spine,DC2-SP2,Ethernet3,l3leaf,DC2-CL3,Ethernet2,True
spine,DC2-SP2,Ethernet4,l3leaf,DC2-CL4,Ethernet2,True
spine,DC2-SP2,Ethernet5,l3leaf,DC2-BL1,Ethernet2,True
spine,DC2-SP2,Ethernet6,l3leaf,DC2-BL2,Ethernet2,True
