test_id,node,test_category,test_description,test,result,failure_reason
1,DC1-BL1,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
2,DC1-BL2,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
3,DC1-CL1,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
4,DC1-CL2,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
5,DC1-CL3,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
6,DC1-CL4,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
7,DC1-SP1,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
8,DC1-SP2,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
9,DC1-BL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SP1_Ethernet5,PASS,
10,DC1-BL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SP2_Ethernet5,PASS,
11,DC1-BL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC2-BL1_Ethernet4,PASS,
12,DC1-BL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SP1_Ethernet6,PASS,
13,DC1-BL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SP2_Ethernet6,PASS,
14,DC1-BL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC2-BL2_Ethernet4,PASS,
15,DC1-CL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SP1_Ethernet1,PASS,
16,DC1-CL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SP2_Ethernet1,PASS,
17,DC1-CL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - DC1-SW1_Ethernet1,PASS,
18,DC1-CL1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - DC1-R1_Ethernet0/1,PASS,
19,DC1-CL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SP1_Ethernet2,PASS,
20,DC1-CL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SP2_Ethernet2,PASS,
21,DC1-CL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - DC1-SW1_Ethernet2,PASS,
22,DC1-CL2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - DC1-R1_Ethernet0/2,PASS,
23,DC1-CL3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SP1_Ethernet3,PASS,
24,DC1-CL3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SP2_Ethernet3,PASS,
25,DC1-CL3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - DC1-SW2_Ethernet1,PASS,
26,DC1-CL3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - DC1-R2_Ethernet0/1,PASS,
27,DC1-CL4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SP1_Ethernet4,PASS,
28,DC1-CL4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SP2_Ethernet4,PASS,
29,DC1-CL4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - DC1-SW2_Ethernet2,PASS,
30,DC1-CL4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - DC1-R2_Ethernet0/2,PASS,
31,DC1-SP1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-CL1_Ethernet1,PASS,
32,DC1-SP1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-CL2_Ethernet1,PASS,
33,DC1-SP1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-CL3_Ethernet1,PASS,
34,DC1-SP1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-CL4_Ethernet1,PASS,
35,DC1-SP1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_DC1-BL1_Ethernet1,PASS,
36,DC1-SP1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_DC1-BL2_Ethernet1,PASS,
37,DC1-SP2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-CL1_Ethernet2,PASS,
38,DC1-SP2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-CL2_Ethernet2,PASS,
39,DC1-SP2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-CL3_Ethernet2,PASS,
40,DC1-SP2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-CL4_Ethernet2,PASS,
41,DC1-SP2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_DC1-BL1_Ethernet2,PASS,
42,DC1-SP2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_DC1-BL2_Ethernet2,PASS,
43,DC1-CL1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - DC1-SW1_PortChannel100,PASS,
44,DC1-CL1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - DC1-R1_PortChannel100,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
45,DC1-CL2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - DC1-SW1_PortChannel100,PASS,
46,DC1-CL2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - DC1-R1_PortChannel100,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
47,DC1-CL3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - DC1-SW2_PortChannel100,PASS,
48,DC1-CL3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - DC1-R2_PortChannel100,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
49,DC1-CL4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - DC1-SW2_PortChannel100,PASS,
50,DC1-CL4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - DC1-R2_PortChannel100,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
51,DC1-BL1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
