Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
rr,DC1-BL1,Ethernet1,100.64.1.20/31,p,DC1-SP1,Ethernet5,100.64.1.21/31
rr,DC1-BL1,Ethernet2,100.64.1.22/31,p,DC1-SP2,Ethernet5,100.64.1.23/31
rr,DC1-BL1,Ethernet8,100.64.1.28/31,rr,DC1-BL2,Ethernet8,100.64.1.29/31
rr,DC1-BL2,Ethernet1,100.64.1.24/31,p,DC1-SP1,Ethernet6,100.64.1.25/31
rr,DC1-BL2,Ethernet2,100.64.1.26/31,p,DC1-SP2,Ethernet6,100.64.1.27/31
pe,DC1-CL1,Ethernet1,100.64.1.0/31,p,DC1-SP1,Ethernet1,100.64.1.1/31
pe,DC1-CL1,Ethernet2,100.64.1.2/31,p,DC1-SP2,Ethernet1,100.64.1.3/31
pe,DC1-CL1,Ethernet8,100.64.1.8/31,pe,DC1-CL2,Ethernet8,100.64.1.9/31
pe,DC1-CL2,Ethernet1,100.64.1.4/31,p,DC1-SP1,Ethernet2,100.64.1.5/31
pe,DC1-CL2,Ethernet2,100.64.1.6/31,p,DC1-SP2,Ethernet2,100.64.1.7/31
pe,DC1-CL3,Ethernet1,100.64.1.10/31,p,DC1-SP1,Ethernet3,100.64.1.11/31
pe,DC1-CL3,Ethernet2,100.64.1.12/31,p,DC1-SP2,Ethernet3,100.64.1.13/31
pe,DC1-CL3,Ethernet8,100.64.1.18/31,pe,DC1-CL4,Ethernet8,100.64.1.19/31
pe,DC1-CL4,Ethernet1,100.64.1.14/31,p,DC1-SP1,Ethernet4,100.64.1.15/31
pe,DC1-CL4,Ethernet2,100.64.1.16/31,p,DC1-SP2,Ethernet4,100.64.1.17/31
p,DC1-SP1,Ethernet7,100.64.1.30/31,p,DC1-SP2,Ethernet7,100.64.1.31/31
